Title,Link,Sentiment
"Why the rupee is falling faster now: MoS Finance flags crude surge, trade deficit as key drivers",https://www.businesstoday.in/latest/economy/story/why-the-rupee-is-falling-faster-now-mos-finance-flags-crude-surge-trade-deficit-as-key-drivers-521890-2026-03-23,Negative
"Two more Indian-flagged LPG tankers set sail from Gulf, may cross Hormuz today: Report",https://www.businesstoday.in/latest/economy/story/two-more-indian-flagged-lpg-tankers-set-sail-from-gulf-may-cross-hormuz-today-report-521881-2026-03-23,Positive
"'Ensure no black-marketing, hoarding': PM Modi reviews West Asia impact, directs coordinated response",https://www.businesstoday.in/latest/economy/story/ensure-no-black-marketing-hoarding-pm-modi-reviews-west-asia-impact-directs-coordinated-response-521765-2026-03-22,Neutral
'What happens in Asia doesn't stay in Asia': Raghuram Rajan warns Hormuz shock will hurt US,https://www.businesstoday.in/latest/economy/story/what-happens-in-asia-doesnt-stay-in-asia-raghuram-rajan-warns-hormuz-shock-will-hurt-us-521764-2026-03-22,Neutral
"Govt considers tax relief, liquidity support as West Asia curbs hit airlines: Sources",https://www.businesstoday.in/latest/economy/story/govt-considers-tax-relief-liquidity-support-as-west-asia-curbs-hit-airlines-sources-521762-2026-03-22,Neutral
$11 billion exposure: India is largest importer of nitrogen fertilisers from Persian Gulf,https://www.businesstoday.in/latest/economy/story/11-billion-import-exposure-india-is-largest-importer-of-nitrogen-fertilisers-from-persian-gulf-521761-2026-03-22,Neutral
"US cargo ship with 16,714 metric tonnes of LPG arrives at Mangaluru",https://www.businesstoday.in/latest/economy/story/us-cargo-ship-with-16714-metric-tonnes-of-lpg-arrives-at-mangaluru-521753-2026-03-22,Neutral
'Burning more energy to produce less': Hormuz-linked LNG supply cut hits urea output across India,https://www.businesstoday.in/latest/economy/story/burning-more-energy-to-produce-less-hormuz-linked-lng-supply-cut-hits-urea-output-across-india-521750-2026-03-22,Positive
Energy security in focus: PM Modi holds high-level meeting as Hormuz disruption hits supplies,https://www.businesstoday.in/latest/economy/story/energy-security-in-focus-pm-modi-to-chair-high-level-meet-as-hormuz-disruption-hits-supplies-521747-2026-03-22,Neutral
"PAN rules change from April 1, 2026: Aadhaar-only process ends; What are the new application norms",https://www.businesstoday.in/latest/economy/story/pan-rules-change-from-april-1-2026-aadhaar-only-process-ends-what-are-the-new-application-norms-521746-2026-03-22,Positive
"Govt ramps up fuel, shipping preparedness as Hormuz tensions rise; LPG, petrol stocks adequate, says Centre",https://www.businesstoday.in/latest/economy/story/govt-ramps-up-fuel-shipping-preparedness-as-hormuz-tensions-rise-lpg-petrol-stocks-adequate-says-centre-521719-2026-03-21,Positive
"Indian refiners eye Iranian oil after US waiver, but wait for clarity amid war-driven supply fears: Report",https://www.businesstoday.in/latest/economy/story/indian-refiners-eye-iranian-oil-after-us-waiver-but-wait-for-clarity-amid-war-driven-supply-fears-report-521703-2026-03-21,Neutral
West Asia conflict: Is the Rupee headed for the 100-mark?,https://www.businesstoday.in/latest/economy/story/west-asia-conflict-is-the-rupee-headed-for-the-100-mark-521700-2026-03-21,Neutral
'85% of auctioned mining blocks still idle in India': Vedanta's Anil Agarwal lists big challenges,https://www.businesstoday.in/india/story/85-of-auctioned-mining-blocks-still-idle-in-india-vedantas-anil-agarwal-lists-big-challenges-521675-2026-03-20,Neutral
"Simplified income tax law to be effective from April 1: 50% HRA to go beyond 4 metros, what all will you get",https://www.businesstoday.in/latest/economy/story/simplified-income-tax-law-to-be-effective-from-april-1-50-hra-to-go-beyond-4-metros-heres-what-salaried-employees-will-get-521611-2026-03-20,Positive
"West Asia conflict: Sugar industry has a solution for India's LPG import dependence, subsidy burden",https://www.businesstoday.in/india/story/west-asia-conflict-sugar-industry-has-a-solution-for-indias-lpg-import-dependence-subsidy-burden-521565-2026-03-20,Neutral
"US may release reserves, ease Iranian oil curbs to support global supply: Treasury Secretary Bessent",https://www.businesstoday.in/latest/economy/story/us-may-release-reserves-ease-iranian-oil-curbs-to-support-global-supply-treasury-secretary-bessent-521475-2026-03-19,Neutral
"Why India will look at Australia, Russia over US for LNG",https://www.businesstoday.in/latest/economy/story/why-india-will-look-at-australia-russia-over-us-for-lng-521454-2026-03-19,Neutral
BT EXPLAINER: Why the West Asia war may not trigger a fertiliser crisis in India,https://www.businesstoday.in/latest/economy/story/bt-explainer-why-the-west-asia-war-may-not-trigger-a-fertiliser-crisis-in-india-521451-2026-03-19,Neutral
BT EXPLAINER: Why Iran's attack on Qatar's Ras Laffan is terrible news for the world,https://www.businesstoday.in/latest/economy/story/bt-explainer-why-irans-attack-on-qatars-ras-laffan-terrible-news-for-the-world-521443-2026-03-19,Negative
The Ras Laffan Effect: Energy shock for import-dependent India,https://www.businesstoday.in/latest/economy/story/the-ras-laffan-effect-energy-shock-for-import-dependent-india-521438-2026-03-19,Neutral
Russian oil imports to India at 3-month high,https://www.businesstoday.in/latest/economy/story/russian-oil-imports-to-india-at-3-month-high-521403-2026-03-19,Positive
Who has been a better CM – Himanta Biswa Sharma or Mamata Banerjee?,https://www.businesstoday.in/latest/economy/story/assam-vs-west-bengal-10-years-performance-in-economic-growth-income-debt-and-infrastructure-ahead-of-polls-521386-2026-03-19,Positive
